cell_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
colony-21294,4,0,5,-1,-1,-1,0,5,7,4,8,0,0,0,0,-1,-1,-1,8,8,6,8,3,0,3,0,1,-1,-1,-1,-1,-1,-1,0,0,5,-1,-1,-1,4,0,2,3,2,8,0,2,0
colony-21295,4,0,5,-1,-1,-1,-1,-1,-1,8,4,0,4,5,6,7,7,6,0,0,6,8,3,0,-1,-1,-1,0,2,1,8,3,8,0,0,1,7,0,1,4,0,0,0,0,8,8,8,0
colony-21299,8,5,0,-1,-1,-1,6,0,0,7,3,0,1,6,5,-1,-1,-1,7,5,0,1,0,0,7,8,5,4,4,5,8,0,5,0,0,1,-1,-1,-1,7,3,8,1,5,8,0,5,0
colony-21301,-1,-1,-1,5,4,5,3,4,6,0,2,0,0,0,8,-1,-1,-1,8,8,6,8,3,5,3,2,1,3,7,1,8,5,7,0,6,5,7,4,0,-1,-1,-1,1,2,8,0,0,1
colony-21302,-1,-1,-1,-1,-1,-1,0,8,3,5,8,8,1,2,8,-1,-1,-1,8,8,6,8,3,0,3,0,1,5,7,1,-1,-1,-1,5,0,5,7,4,8,4,0,2,3,2,8,0,0,0
colony-21303,4,0,5,-1,-1,-1,0,0,3,-1,-1,-1,5,8,0,0,2,8,-1,-1,-1,8,3,0,3,8,1,5,7,1,-1,-1,-1,0,0,5,7,4,8,4,0,2,3,2,8,0,0,0
colony-21304,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,5,2,0,3,0,3,1,0,0,5,-1,-1,-1,-1,-1,-1,8,0,0,0,0,0,7,7,1,0,7,1,8,2,8,0,5,0
colony-21305,4,0,5,-1,-1,-1,0,0,3,5,8,5,0,0,2,-1,-1,-1,8,8,6,8,3,0,3,0,1,5,7,1,8,7,0,-1,-1,-1,7,4,8,4,0,2,3,2,8,0,0,0
colony-21309,8,2,5,5,0,5,-1,-1,-1,0,0,0,2,1,5,1,2,8,8,8,6,8,3,0,-1,-1,-1,0,0,1,-1,-1,-1,5,0,2,-1,-1,-1,4,8,2,8,2,8,0,0,0
colony-21311,8,0,5,-1,-1,-1,-1,-1,-1,0,2,6,3,3,8,0,2,8,8,8,6,8,3,5,3,4,1,-1,-1,-1,8,0,0,0,0,5,7,4,6,-1,-1,-1,1,2,8,-1,-1,-1
colony-21312,8,0,5,5,4,5,3,4,6,0,2,0,0,0,8,-1,-1,-1,8,8,6,-1,-1,-1,3,4,1,3,7,1,8,5,0,0,6,5,7,4,0,4,3,2,1,2,8,0,0,0
colony-21322,4,8,5,-1,-1,-1,8,0,0,-1,-1,-1,0,0,0,0,2,8,-1,-1,-1,8,3,0,0,0,1,0,0,0,-1,-1,-1,0,0,1,7,0,0,4,8,8,-1,-1,-1,-1,-1,-1
colony-21325,8,0,5,-1,-1,-1,0,4,0,3,0,8,7,4,8,0,2,8,8,8,6,8,3,3,3,4,1,3,7,1,-1,-1,-1,0,0,5,7,4,8,4,5,2,1,2,8,8,2,0
colony-21328,-1,-1,-1,5,4,5,8,3,8,8,0,0,7,7,0,-1,-1,-1,3,5,6,8,3,0,0,0,1,8,0,1,-1,-1,-1,0,0,1,7,0,1,4,5,5,2,6,8,-1,-1,-1
colony-21329,4,0,5,-1,-1,-1,8,0,0,8,0,0,0,0,0,0,2,8,0,0,6,8,3,0,0,0,1,0,0,1,-1,-1,-1,0,0,1,7,2,4,4,8,8,0,5,8,8,0,0
colony-21332,0,0,1,5,2,0,1,0,0,6,0,8,5,4,5,2,0,3,0,3,1,-1,-1,-1,-1,-1,-1,0,0,1,8,0,8,-1,-1,-1,7,7,0,0,7,1,1,5,8,0,5,0
colony-21333,4,8,5,-1,-1,-1,8,1,0,0,0,8,0,1,4,-1,-1,-1,-1,-1,-1,8,3,5,3,7,1,0,7,1,-1,-1,-1,0,0,5,7,4,8,-1,-1,-1,3,2,8,0,0,0
colony-21335,4,8,5,5,0,5,8,0,0,0,0,8,0,1,5,-1,-1,-1,8,8,6,8,3,0,-1,-1,-1,-1,-1,-1,8,0,0,-1,-1,-1,7,4,8,4,0,2,3,2,8,0,0,0
colony-21336,4,0,5,5,4,5,8,3,8,8,4,0,7,0,0,-1,-1,-1,0,0,6,8,3,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,5,2,0,8,8,8,0
colony-21338,4,0,5,5,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,8,6,0,6,-1,-1,-1,-1,-1,-1,0,8,1,-1,-1,-1,0,0,1,7,7,1,4,8,5,6,8,8,8,8,0
colony-21339,4,0,5,5,4,5,8,3,8,8,4,0,7,0,0,0,2,8,0,0,6,8,3,0,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,7,0,1,4,0,5,2,0,8,8,8,0
