,identifier,noise,method,var_name,var_value
255,c30_noise0.0_rep14,0.0,LAML1,lambda,0.0898117247683882
256,c30_noise0.0_rep14,0.0,LAML1,true_treeHeight,11.901970391391872
257,c30_noise0.0_rep14,0.0,LAML1,est_treeHeight,9.999999981347852
258,c30_noise0.0_rep14,0.0,LAML1,true_mutRate,0.09104169211150456
259,c30_noise0.0_rep14,0.0,LAML1,est_comp_mutRate,0.10835755259144435
260,c30_noise0.0_rep14,0.0,LAML1,manually_rescaled_lambda,0.0707178935184159
261,c30_noise0.0_rep14,0.0,LAML2,phi,0.10066326065801652
262,c30_noise0.0_rep14,0.0,LAML2,nu,1.6634937438503258e-05
263,c30_noise0.0_rep14,0.0,LAML2,rho,0.9999999992896658
264,c30_noise0.0_rep14,0.0,LAML2,lambda,0.0892744519375046
265,c30_noise0.0_rep14,0.0,LAML2,true_treeHeight,11.901970391391872
266,c30_noise0.0_rep14,0.0,LAML2,est_treeHeight,9.999999999999998
267,c30_noise0.0_rep14,0.0,LAML2,true_mutRate,0.09104169211150456
268,c30_noise0.0_rep14,0.0,LAML2,est_comp_mutRate,0.10835755238933426
269,c30_noise0.0_rep14,0.0,LAML2,manually_rescaled_lambda,0.07029484404527922
270,c30_noise0.0_rep15,0.0,LAML1,phi,0.09399958195615314
271,c30_noise0.0_rep15,0.0,LAML1,nu,1.962250197257154e-06
272,c30_noise0.0_rep15,0.0,LAML1,llh,2304.3944691098136
273,c30_noise0.0_rep15,0.0,LAML1,lambda,0.09371133028493077
274,c30_noise0.0_rep15,0.0,LAML1,true_treeHeight,11.843667046249793
275,c30_noise0.0_rep15,0.0,LAML1,est_treeHeight,9.999999794163587
276,c30_noise0.0_rep15,0.0,LAML1,true_mutRate,0.09148986708778244
277,c30_noise0.0_rep15,0.0,LAML1,est_comp_mutRate,0.10835755461972726
278,c30_noise0.0_rep15,0.0,LAML1,manually_rescaled_lambda,0.07378844904325257
279,c30_noise0.0_rep15,0.0,LAML2,phi,0.09399244854547988
280,c30_noise0.0_rep15,0.0,LAML2,nu,2.7297386240998406e-05
281,c30_noise0.0_rep15,0.0,LAML2,rho,0.9999999999966068
282,c30_noise0.0_rep15,0.0,LAML2,lambda,0.09376915939446276
283,c30_noise0.0_rep15,0.0,LAML2,true_treeHeight,11.843667046249793
284,c30_noise0.0_rep15,0.0,LAML2,est_treeHeight,9.999999817767868
285,c30_noise0.0_rep15,0.0,LAML2,true_mutRate,0.09148986708778244
286,c30_noise0.0_rep15,0.0,LAML2,est_comp_mutRate,0.10835755436395704
287,c30_noise0.0_rep15,0.0,LAML2,manually_rescaled_lambda,0.07383398377516753
288,c30_noise0.0_rep16,0.0,LAML1,phi,0.1066665470556938
289,c30_noise0.0_rep16,0.0,LAML1,nu,1.2686582309383974e-06
290,c30_noise0.0_rep16,0.0,LAML1,llh,1998.3947953977063
291,c30_noise0.0_rep16,0.0,LAML1,lambda,0.10174490869580859
292,c30_noise0.0_rep16,0.0,LAML1,true_treeHeight,13.902181588587299
293,c30_noise0.0_rep16,0.0,LAML1,est_treeHeight,9.999999996502952
294,c30_noise0.0_rep16,0.0,LAML1,true_mutRate,0.07794284062458806
295,c30_noise0.0_rep16,0.0,LAML1,est_comp_mutRate,0.10835755242722739
296,c30_noise0.0_rep16,0.0,LAML1,manually_rescaled_lambda,0.08011410133528236
297,c30_noise0.0_rep16,0.0,LAML2,phi,0.1066656338291779
298,c30_noise0.0_rep16,0.0,LAML2,nu,5.196564492687753e-06
299,c30_noise0.0_rep16,0.0,LAML2,rho,0.9999999999764828
300,c30_noise0.0_rep16,0.0,LAML2,lambda,0.10482225984982074
301,c30_noise0.0_rep16,0.0,LAML2,true_treeHeight,13.902181588587299
302,c30_noise0.0_rep16,0.0,LAML2,est_treeHeight,9.99999996350028
303,c30_noise0.0_rep16,0.0,LAML2,true_mutRate,0.07794284062458806
