,cell_name,target_site,pub_geno,pub_pmax,lp_state
1578,colony-22381,7,0,0.877,0
1579,colony-22384,7,0,0.993,0
1580,colony-22387,7,0,1.0,0
1581,colony-22389,7,0,0.999,0
1582,colony-22424,7,2,0.999,2
1583,colony-22432,7,5,1.0,5
1584,colony-22438,7,2,1.0,2
1585,colony-22440,7,0,1.0,0
1586,colony-22442,7,0,1.0,0
1587,colony-22449,7,2,0.994,2
1588,colony-22450,7,0,1.0,0
1589,colony-22451,7,0,1.0,0
1590,colony-22453,7,0,1.0,0
1591,colony-22461,7,0,1.0,0
1592,colony-22463,7,0,1.0,0
1593,colony-22467,7,0,1.0,0
1594,colony-22474,7,0,1.0,0
1595,colony-22480,7,0,1.0,0
1596,colony-22483,7,0,1.0,0
1597,colony-22484,7,0,1.0,0
1598,colony-22489,7,0,1.0,0
1599,colony-22494,7,0,0.994,0
1600,colony-22501,7,0,0.854,0
1601,colony-22504,7,0,1.0,0
1602,colony-21229,10,0,1.0,0
1603,colony-21241,10,0,1.0,0
1604,colony-21243,10,8,0.526,0
1605,colony-21244,10,0,1.0,0
1606,colony-21247,10,7,0.953,7
1607,colony-21248,10,4,0.717,4
