,Dim_0,Dim_1
internal_861,-2051.472967421399,-1256.4319287414503
internal_911,-2047.3061988168106,-1253.2469106635992
internal_854,-1918.1654263306752,-1254.6717991150267
internal_894,-1879.7661059492737,-1204.5070198454234
internal_902,-1809.8726432723272,-1186.9520104945052
internal_876,-1947.712687205066,-1384.5780748155516
internal_1023,-1965.5800708356057,-1153.5770268105634
internal_994,-1772.8911704395832,-1254.7773838413398
internal_1013,-1761.9889483169404,-1212.3767402237017
internal_1009,-1868.716173524648,-1212.3763802828912
internal_1168,-1981.3814773619893,-1481.4346521075854
internal_1145,-1903.02419134378,-1466.1449041006613
internal_1191,-2011.9782573602638,-1460.1752375745712
internal_1196,-2109.111910118519,-1282.0167569993407
internal_986,-1947.7461475279986,-1233.41510202556
internal_1132,-1931.8378406192603,-1215.965086001874
internal_1136,-1885.8013533504254,-1218.5214622370638
internal_1037,-1807.6488921516884,-1150.5545018055648
internal_1033,-1921.761444953722,-1142.0563202070587
internal_1031,-1837.5149530915767,-1163.979047864183
internal_1041,-1804.1810561394027,-1144.807660766547
internal_1242,-2154.6391071484877,-1379.9589743772287
internal_1241,-2104.019247556223,-1389.3233210729902
internal_1218,-1812.1225797556115,-1395.225999048275
internal_743,-1707.3505299982096,-1391.772237832449
internal_746,-1686.8425334172675,-1407.8727705846024
internal_736,-1884.731001801047,-1570.9318204592316
internal_738,-1818.2949874763947,-1567.4430188426545
internal_765,-1766.8299231847643,-1070.2649766723669
internal_767,-1833.1383510436601,-1514.2395168763198
internal_756,-1787.6843285050873,-1484.710311011339
internal_801,-1720.9319366180675,-1289.3797839358997
internal_821,-1746.3869542531454,-1471.8535942145445
internal_812,-1731.8061478643378,-1341.697013666403
internal_811,-1741.0616232976015,-1326.5887421602622
internal_843,-1858.5982053754994,-1189.070883140471
internal_847,-1857.3038026533336,-1166.352093553933
internal_846,-1832.0963773536105,-1148.0555078413886
internal_838,-1765.3175449799892,-1318.0140982786672
internal_833,-1855.85001432764,-1530.2978527624734
internal_933,-2039.4529817612045,-1550.031935161269
internal_938,-2122.3353324417567,-1448.7476006551547
internal_721,-1784.7853326068548,-1135.4182358640169
internal_720,-1865.0256467165877,-1222.6629914437588
internal_723,-1890.5776058138242,-1237.570214718925
internal_1309,-2110.4693152566365,-1466.467218684523
internal_1323,-1810.0582802422425,-1445.1253873108192
internal_1324,-1910.6307685058148,-1505.7360336619838
internal_1297,-2133.919280682719,-1310.4129438229206
internal_1296,-2173.6518348663067,-1424.4861774709098
internal_1292,-1883.9756678274016,-1410.0207125041848
internal_1362,-1927.2505048039272,-1461.714589279601
internal_1364,-1917.594331921969,-1433.1687467533675
internal_1371,-1892.3024198112705,-1257.775880030414
internal_1350,-1869.085981478226,-1291.3126922457916
internal_1352,-1887.489935307983,-1288.9816051592202
internal_1336,-1882.6985578899014,-1381.5716972230603
internal_1335,-1870.467564976054,-1320.6328796149926
internal_1071,-2040.7936707202382,-1394.0466419733777
internal_1062,-2045.6806612203277,-1375.3190566250908
internal_1061,-2033.3441301949315,-1389.1219616989292
internal_1121,-2031.5379548206047,-1338.6753863313363
internal_1122,-1982.5908888382737,-1369.1205770249578
internal_1111,-1975.8068385529875,-1396.9479835395418
internal_1099,-1885.3351902547718,-1437.0665498105757
internal_1097,-1828.2601432558913,-1525.0976568659896
internal_1092,-1967.4853567052553,-1444.7247942748759
internal_1094,-1837.5180997426196,-1329.6225644151953
internal_863,-2105.571324168272,-1266.135364025529
internal_856,-2051.6287044549495,-1244.2879713015277
internal_912,-2054.9729755320395,-1254.0133683775186
internal_867,-1801.6472038102702,-1223.352619942566
internal_906,-1927.473287395387,-1225.3570905104682
internal_901,-1889.2444322994172,-1201.3785379952726
internal_903,-1807.0957069195315,-1187.5456333561074
internal_878,-1912.4134712432128,-1387.885546157355
internal_887,-2003.7409185411466,-1435.5720650210942
internal_1022,-1970.077539030186,-1149.5501640303169
internal_1020,-1948.7943618754668,-1136.3036017545828
internal_1017,-1777.8285527778648,-1250.251912681201
internal_995,-1737.9306444974077,-1287.4074386904679
internal_1014,-1735.3424569090328,-1205.942413369592
internal_1000,-1807.6121882436441,-1213.1689906662186
internal_1002,-1880.7352833122009,-1197.2951109846658
internal_1169,-1999.2804915657337,-1473.6169936013966
internal_1157,-1844.8430837554436,-1509.785916843092
internal_1146,-1895.7660559029778,-1497.060251649312
internal_1184,-2014.801138974429,-1465.747810036985
internal_1198,-2115.0954872792763,-1286.079855925909
internal_987,-1930.880682176166,-1167.8936506220907
internal_1125,-1943.965960484618,-1211.2598886260607
internal_1131,-1917.4141807941642,-1191.940170070305
internal_1139,-1900.1532078803486,-1205.665548030557
internal_1038,-1763.6554335945864,-1137.5679698056163
internal_1034,-1834.1995318967151,-1222.982334898767
internal_1219,-1806.3911939481568,-1395.9612434713342
internal_739,-1874.1291478340634,-1576.3553572954715
internal_758,-1809.452652382301,-1525.3301494517357
internal_807,-1716.565815895791,-1259.4167206746386
internal_849,-1850.1599255955482,-1186.145514052285
internal_829,-1831.64762932239,-1541.9699081101155
internal_835,-1740.9859009261236,-1447.276850544594
internal_1313,-1916.8174412121637,-1517.3693762308228
internal_1299,-2109.139216916808,-1299.1369666602634
internal_1293,-1887.0787438977006,-1425.5868615663362
internal_1363,-1942.293956644652,-1468.0124038100391
internal_1365,-1917.683623940013,-1475.1955918879157
internal_1366,-1907.8490402681093,-1411.7994136965453
internal_1370,-1894.0675546159891,-1252.3207276515645
internal_1373,-1887.1617710564162,-1269.6569270863017
internal_1353,-1859.680636374534,-1295.4358651706427
internal_1351,-1877.0271301074254,-1288.6537184003148
internal_1343,-1889.4227712233603,-1394.4316063249673
internal_1346,-1864.3789657006205,-1263.0100862821273
internal_1070,-2046.531614443063,-1401.5754542412878
internal_1073,-2050.577746864424,-1389.0004000634196
internal_1053,-2083.259073940952,-1371.368463877139
internal_1083,-2026.4150941083542,-1266.0945730057456
internal_1055,-2035.6603297476433,-1390.328392470479
internal_1054,-1970.2042394524683,-1373.3347415833807
internal_1112,-1974.7916048257837,-1394.6376015649562
internal_1095,-1907.5617447719635,-1415.9736349899285
internal_862,-2115.39293469168,-1247.151112609324
internal_857,-2056.920712396221,-1238.4495161616685
internal_913,-2106.8399272758697,-1247.4591393111546
internal_914,-2048.726807463174,-1265.1338080557352
internal_871,-1741.0296579707294,-1251.5622864988259
internal_868,-1799.1314722089517,-1184.9764224147186
internal_907,-2006.9344369467035,-1232.4649139189708
internal_909,-1859.5107443416125,-1133.8055890804956
internal_896,-1905.3675009148883,-1198.198356720125
internal_904,-1799.8266223734909,-1212.5287921358922
internal_877,-2023.599042489622,-1431.5019988053339
internal_888,-2018.1868850298558,-1480.6965240620468
internal_1021,-2044.8381116014305,-1167.4198115946185
internal_1024,-1924.9945721223123,-1132.0991755128791
internal_1019,-1795.87633673036,-1325.0077028810674
internal_1025,-1775.1391813764192,-1202.7549722336203
internal_997,-1729.1336115207678,-1263.9414287961524
internal_1015,-1729.7618072273365,-1194.9508762037165
internal_1006,-1794.3424174878078,-1203.5209541880763
internal_1003,-1885.218052595295,-1198.344710862611
internal_1173,-2009.5680119004726,-1526.2970529976851
internal_1171,-2010.0370388675803,-1448.7817024856104
internal_1158,-1796.227250323878,-1531.1959741001854
internal_1159,-1812.033998700252,-1564.654837926642
internal_1147,-1870.4535778715642,-1487.4492161092548
internal_1187,-2016.9563681924883,-1475.557920220863
internal_1188,-2000.6622013131923,-1391.2533010410714
internal_1200,-2112.4099368452557,-1289.7368747500248
internal_1197,-2176.1018970417035,-1288.584285785967
internal_1127,-2009.970980424893,-1220.004823684773
internal_1126,-1917.2098859598618,-1192.070655009731
internal_1133,-1920.9619954880447,-1186.997167578956
internal_1138,-1922.908021634379,-1212.1017901032653
internal_1140,-1822.681413497467,-1154.7856756575397
internal_1039,-1757.9951793331084,-1141.5382294592973
internal_1220,-1779.8728723611296,-1455.9169428004395
internal_757,-1834.2911040644087,-1556.9282793317732
internal_1325,-1919.358478196455,-1526.4825883426336
internal_1317,-1947.491808631729,-1569.1553551461907
internal_1298,-2085.4938021964513,-1298.3229879098274
internal_1374,-1926.02883369299,-1198.4990669034287
