,Dim_0,Dim_1
internal_1093,-1952.3101107433984,-1407.2967579371436
internal_1090,-2013.8150668867677,-1503.3532570574619
internal_1078,-1862.3996243523031,-1446.951401257962
internal_1076,-1930.3738505651606,-1271.3953946668112
internal_1075,-1979.9646721341812,-1514.9010581824605
internal_1066,-1859.2878814966236,-1520.6196391444491
internal_1060,-1998.1471074137091,-1439.2778177633247
internal_1067,-1895.2293722912002,-1410.614616729184
internal_1052,-2012.769270766859,-1414.6518836644416
internal_1053,-2060.4457509420517,-1401.95835823719
internal_997,-2047.3619158701713,-1422.9124167203506
internal_996,-2043.799288568198,-1382.712410788805
internal_1030,-1840.9498109791848,-1520.9224835988337
internal_1041,-1910.8230032344784,-1495.6356131515922
internal_1017,-2017.7676528436425,-1413.0734357744493
internal_1018,-1929.3493354077993,-1394.9527481267319
internal_1110,-1889.334006996364,-1512.6471695271482
internal_1123,-1837.8016512383933,-1368.3519883513948
internal_1117,-2100.752588559109,-1406.028648051409
internal_1132,-1777.5865302184397,-1298.2417374554882
internal_1134,-1791.8900224927302,-1278.0483040003865
internal_1133,-1770.6540283764487,-1176.0362321647997
internal_1200,-1860.0752104062794,-1175.9967764653318
internal_1205,-1861.6412247952542,-1176.808065142425
internal_1220,-1831.3802086963342,-1188.623783051374
internal_1221,-1837.3251340779289,-1169.649620897652
internal_1231,-1921.0000352214443,-1185.672119700084
internal_1230,-1922.7854413819095,-1194.0744495530867
internal_1233,-2058.9292650572042,-1237.993378212445
internal_1241,-1809.8407919853541,-1203.8827938052905
internal_1238,-2024.0906273742833,-1228.2983027808284
internal_1239,-1937.359073098599,-1198.6230214245297
internal_1184,-2005.158047291389,-1340.129741780783
internal_1186,-1995.7650927059638,-1341.578150103479
internal_1168,-1985.0085448156126,-1409.4606869344038
internal_1174,-2024.7612577862094,-1425.0699092009854
internal_1164,-1850.120679715916,-1115.0501726675955
internal_1159,-1852.6259461032466,-1171.4654942906163
internal_1145,-1904.6370489507385,-1226.3958690914722
internal_1150,-1929.2254628556,-1269.406867879149
internal_1256,-1952.2920470220638,-1370.8095678234358
internal_1257,-1918.1864934605755,-1432.7944149860114
internal_1253,-1948.5059880233302,-1398.737949501887
internal_1248,-1970.8990788193885,-1388.6325030909363
internal_1278,-2020.9712300631231,-1402.4198818247198
internal_1287,-2039.9036109375468,-1405.9000817013775
internal_1270,-1934.2567867358666,-1421.6327123007138
internal_1274,-1927.574930401241,-1536.3458186550624
internal_1295,-2038.4198973794914,-1416.4198490601848
internal_1304,-2046.420419512533,-1403.8218214078902
internal_1315,-2100.9531799849406,-1367.6521773672284
internal_1314,-2037.258270097165,-1332.1908347590615
internal_953,-1811.1529435059542,-1452.9245429425457
internal_888,-1901.2439880232116,-1389.4564923601586
internal_879,-1912.304444203737,-1339.6636975558372
internal_881,-1885.9949633405768,-1293.0542369877546
internal_885,-1897.159523238015,-1443.5652705073107
internal_918,-1923.7101917097727,-1391.5885432171742
internal_1515,-1968.5053657827664,-1195.9164176770587
internal_1513,-1973.262246655315,-1193.7517036749448
internal_1445,-2126.823901201861,-1222.8168558483694
internal_1436,-2090.885829675465,-1241.6299017171302
internal_1440,-2095.4768454847804,-1281.1315754642421
internal_1421,-2033.39662594266,-1458.4194852228516
internal_1410,-2006.8245641046753,-1437.3015867835247
internal_1412,-2021.7919331367348,-1512.2925059597874
internal_1418,-1986.62071844191,-1366.6343300854273
internal_1417,-1993.1599458561923,-1347.763108544147
internal_1427,-1863.1006693715137,-1193.9670717892832
internal_1426,-1834.5566474843206,-1118.1430118093865
internal_1468,-2026.882629523261,-1494.5157308284938
internal_1456,-1944.1961489417731,-1451.2574077711774
internal_1450,-2008.2997781813156,-1474.3815057285685
internal_1471,-2002.4268694911827,-1409.024688069551
internal_1465,-2136.091776059808,-1387.6552376818695
internal_1482,-2056.0114329246535,-1362.1677628181233
internal_1478,-2025.5535202556262,-1315.1099657865334
internal_1484,-2087.488964669885,-1374.337873350149
internal_1485,-2082.101442714344,-1371.8806620801777
internal_1491,-2067.13786939766,-1334.3862512160458
internal_1490,-2140.285972268306,-1322.942057784126
internal_1489,-2007.437200656212,-1383.281108682026
internal_1499,-2006.4392540707497,-1106.1193977245725
internal_1628,-1832.090528889379,-1152.534194430653
internal_1624,-1802.3054937839556,-1301.0050394057344
internal_1556,-1721.2038502037692,-1283.2142291540858
internal_1574,-1868.3839718475365,-1507.5120488835096
internal_1570,-1738.2467651252769,-1469.8097733452996
internal_1588,-1847.729986397214,-1383.3488598225474
internal_1585,-1791.9066617299834,-1392.7376962337569
internal_1580,-1861.537941097651,-1448.9566836846095
internal_1596,-1674.0384835185807,-1406.4265041702727
internal_1095,-1935.801890873246,-1435.355627836428
internal_1099,-1929.80937600214,-1342.764371010037
internal_1102,-1905.225581894447,-1411.472123481689
internal_1091,-2071.7860523744107,-1546.9636914751704
internal_1086,-1832.6990058086612,-1424.910346665152
internal_1080,-1841.1412989325386,-1487.2112214750262
internal_1085,-1780.9460969107708,-1354.055128972846
internal_1062,-2085.4463981323947,-1412.5013294123457
internal_1064,-1957.2468721014852,-1450.3149206710575
internal_1069,-1841.8754889687546,-1449.5224887846725
internal_1072,-1894.6527106929645,-1383.7106276004768
internal_1056,-2065.43818729853,-1376.038816469972
internal_1055,-2012.3887704359622,-1458.663624359874
internal_1054,-2099.879340026823,-1419.0736961447824
internal_998,-2038.6020317255575,-1432.614635295889
internal_1002,-2068.912125409413,-1423.9680320942996
internal_1005,-2029.9458590498366,-1426.2693851412257
internal_1010,-2076.570849634597,-1315.2963445475102
internal_1031,-1798.2935615051413,-1512.3255840681027
internal_1037,-1826.0903946960755,-1591.5741440816341
internal_1044,-1923.6983351632311,-1578.461061875297
internal_1042,-1910.1272573669237,-1467.5608921010896
internal_1021,-2028.4746610895963,-1466.943298909239
internal_1022,-2032.1258539121495,-1366.0358361164522
internal_1019,-1921.3465507916,-1361.7482917713273
internal_1118,-2097.7349481000633,-1430.1190268844064
internal_1136,-1819.3770236044484,-1224.9628833698343
internal_1201,-1833.7295677834531,-1152.695813573847
internal_1203,-1897.3416621540425,-1205.579656638632
internal_1206,-1800.716312981518,-1188.0821709134602
internal_1219,-1796.8426045682936,-1202.6979782784776
internal_1224,-1896.9906335862559,-1194.9063916162054
internal_1232,-1894.4761968632195,-1162.1505665115335
internal_1234,-2088.718826511931,-1245.6363991365035
internal_1240,-2089.4818246816126,-1254.5343480132417
internal_1192,-2047.3130746714291,-1374.533471836959
internal_1179,-2000.355455798024,-1325.006287232706
internal_1189,-2033.2738214342075,-1403.6666530809318
internal_1170,-1960.837701656541,-1456.0672386358542
internal_1171,-2021.6883297100208,-1390.813522641924
internal_1176,-2054.7586432324483,-1484.892191321072
internal_1175,-2026.6240547836298,-1419.425689243916
internal_1162,-1930.6096910697886,-1139.3668304716555
internal_1161,-1764.7647486116336,-1186.2294388654914
internal_1148,-1902.60598179135,-1183.3516033649917
internal_1154,-1878.1887017474162,-1207.9615758257394
internal_1264,-1955.0976776747384,-1352.438060428677
internal_1267,-1971.2141031022184,-1381.2267720480406
internal_1259,-1927.8324987406386,-1482.3464729550733
internal_1261,-1909.062915097622,-1451.2834774639018
internal_1250,-1983.7963819908032,-1384.5068036495104
internal_1249,-1975.5869628669377,-1399.817417409071
internal_1279,-2058.8093635522523,-1431.5996280547697
internal_1282,-1995.1888016643513,-1373.8734028366944
internal_1288,-2059.7856448101356,-1423.8033850707916
internal_1291,-2042.6043027145736,-1381.647438288932
internal_1272,-1947.268540365694,-1357.8096444043802
internal_1271,-1888.1603279174217,-1458.18586217304
internal_1296,-2032.663103433154,-1435.8865206402238
internal_1300,-2058.5751863769506,-1411.5286372436524
internal_1305,-2059.1013287703236,-1394.8650978246037
internal_1317,-2149.9231406745785,-1350.2590857297944
internal_1308,-2031.5746548630757,-1359.7696776952507
internal_1310,-2011.2831070630057,-1191.0410947758314
internal_887,-1897.589263572289,-1336.0859708417938
internal_882,-1887.0899786243765,-1264.54860187259
internal_1441,-2104.3489536718616,-1264.2755343111212
internal_1413,-2030.3124001826252,-1510.7995338179078
internal_1430,-1974.926132239887,-1160.0278425566364
internal_1429,-1803.0753405062533,-1213.7657700834561
internal_1469,-2034.585691122027,-1498.9253412562564
internal_1451,-2001.8021821251116,-1500.371140571498
internal_1457,-2029.0318155030316,-1494.7843276711399
internal_1472,-1840.8326110950456,-1372.3390992609297
internal_1479,-1988.2824835864278,-1323.416496497346
internal_1480,-2034.4541020042852,-1278.9606623658885
internal_1592,-1822.0136397444026,-1493.6402878820295
internal_1586,-1759.8948426878196,-1354.503322950093
internal_1101,-1847.814462186697,-1358.030385302908
internal_1100,-1968.8637528726088,-1309.7581777491628
internal_1103,-1891.9728922724878,-1439.8067387119622
internal_1104,-1851.2053737163387,-1372.5909253663983
internal_1084,-1828.1383182836294,-1528.0471822357297
internal_1081,-1831.4960452765515,-1491.1545413685208
internal_1071,-1703.6166973751037,-1472.252742546982
internal_1070,-1867.3225855102592,-1470.9382265808658
internal_1057,-2130.2419239714573,-1356.3912842408388
